coldata$id X3543.CF.1 X3543.CF.198 X3543.CF.221 X3543.CF.274 X3543.CF.249 X3543.CF.145 X3543.CF.294 X3543.CF.253 X3543.CF.201
ENSG00000104805 1589 1444 2559 1257 1841 1100 1281 2473 1374
ENSG00000104808 0 0 0 0 0 0 0 0 0
ENSG00000104812 241 305 243 211 410 276 291 390 286
ENSG00000104814 138 334 128 330 635 469 572 568 384
ENSG00000104818 0 0 0 0 0 0 0 0 0
ENSG00000104823 639 762 694 719 762 661 680 1322 708
ENSG00000104824 1122 1215 1067 1066 1388 911 1107 1911 1091
ENSG00000104825 100 118 88 108 118 106 87 242 141
ENSG00000104826 0 1 2 0 0 0 0 3 0
ENSG00000104833 19 3 14 17 19 13 15 19 10
ENSG00000104835 40 86 29 66 101 62 76 75 77
ENSG00000104848 6 0 3 0 0 0 0 0 1
ENSG00000104852 591 1555 786 1050 1162 491 1116 1876 1091
ENSG00000104853 442 475 534 401 580 588 493 816 515
ENSG00000104856 253 195 279 212 253 233 245 342 245
ENSG00000104859 374 654 375 261 412 197 549 771 480
ENSG00000104863 18 11 16 1 5 12 9 19 10
ENSG00000104866 85 89 71 113 141 74 128 138 159
ENSG00000104870 853 1487 1080 1116 1086 809 939 1634 849
ENSG00000104872 139 205 161 185 318 202 179 324 199
ENSG00000104879 13 0 4 0 3 0 3 14 0
ENSG00000104880 361 696 449 369 697 462 648 1062 740
ENSG00000104881 14 24 27 36 35 9 18 38 24
ENSG00000104883 7 27 14 14 11 1 24 28 1
ENSG00000104884 67 130 94 86 95 74 96 187 183
ENSG00000104885 461 476 336 308 715 245 441 743 396
ENSG00000104886 214 191 224 178 310 222 252 416 254
ENSG00000104888 7 0 5 0 0 1 3 7 1
ENSG00000104889 40 49 25 31 93 60 41 99 28
ENSG00000104892 1 0 4 37 0 0 7 0 0
ENSG00000104894 1502 2531 1476 1588 2575 2285 2043 3255 2075
ENSG00000104897 352 524 528 508 581 463 442 835 506
ENSG00000104899 6 0 9 10 14 0 8 2 1
ENSG00000104903 891 702 1100 662 643 509 408 950 470
ENSG00000104904 8180 5418 11095 6686 5296 4985 3829 9181 4431
ENSG00000104907 126 209 101 152 185 100 170 268 184
ENSG00000104915 433 599 477 352 396 379 420 667 458
ENSG00000104918 204 97 220 22 40 29 57 131 108
ENSG00000104921 28 2 1 10 7 118 86 10 10
ENSG00000104936 15 54 37 38 70 26 79 132 67
ENSG00000104938 1 0 0 0 0 0 0 0 0
ENSG00000104941 1 1 0 0 7 0 0 6 0
ENSG00000104946 159 196 200 132 214 156 173 364 213
ENSG00000104951 8 26 40 48 32 36 33 58 18
ENSG00000104953 0 0 2 0 7 0 0 1 3
ENSG00000104957 178 240 194 156 281 138 267 282 211
ENSG00000104960 252 328 266 248 322 200 329 497 276
ENSG00000104964 850 1704 1118 2025 2825 2296 1739 3261 2099
ENSG00000104967 6 0 0 0 0 0 0 0 0
ENSG00000104969 191 251 295 289 352 282 299 351 237
ENSG00000104970 5 7 5 12 23 27 18 96 11
ENSG00000104972 759 722 977 731 1438 539 1423 2419 1288
ENSG00000104973 338 345 304 441 410 331 322 512 314
ENSG00000104974 607 861 932 650 1209 597 1043 1755 1107
ENSG00000104976 42 53 47 46 84 46 67 87 78
ENSG00000104979 154 172 186 266 275 190 242 447 269
ENSG00000104980 94 130 91 136 161 114 137 340 158
ENSG00000104983 56 105 74 83 128 98 80 153 102
ENSG00000104998 461 489 406 413 529 410 431 972 530
ENSG00000105011 24 53 26 39 76 47 25 92 32
ENSG00000105048 94 29 118 29 111 50 65 103 38
ENSG00000105053 89 251 161 151 186 170 262 367 186
ENSG00000105058 475 516 547 485 609 415 432 766 440
ENSG00000105063 2320 2203 3289 2180 2990 1882 1904 3758 2179
ENSG00000105072 10 10 3 6 45 13 24 32 10
ENSG00000105085 189 195 138 98 169 97 158 255 126
ENSG00000105088 0 5 3 13 21 26 32 29 16
ENSG00000105122 386 714 430 787 1151 847 1126 1310 1078
ENSG00000105127 351 448 290 391 497 237 488 644 363
ENSG00000105131 3 1 5 0 0 1 0 2 5
ENSG00000105135 81 125 64 91 107 74 77 130 98
ENSG00000105136 11 50 32 73 27 26 45 46 61
ENSG00000105137 0 0 0 0 1 0 4 2 0
ENSG00000105146 0 8 1 1 0 0 5 0 1
ENSG00000105171 120 169 172 180 306 202 202 281 199
ENSG00000105173 14 4 5 9 34 7 11 37 8
ENSG00000105176 213 359 184 361 543 234 438 467 409
ENSG00000105185 44 94 66 32 123 50 76 186 79
ENSG00000105186 186 319 260 287 407 232 322 578 326
ENSG00000105193 1519 1999 1215 1939 2032 2444 1645 2374 1795
ENSG00000105197 60 128 65 84 147 61 82 166 97
ENSG00000105202 151 290 128 263 294 216 194 355 264
ENSG00000105204 79 55 113 88 204 95 139 233 145
ENSG00000105205 3 16 4 2 9 6 0 4 7
ENSG00000105219 2 1 10 0 0 0 2 3 0
ENSG00000105220 817 721 1123 715 901 511 601 1249 594
ENSG00000105221 411 562 485 427 636 405 561 898 541
ENSG00000105223 994 1299 1272 804 738 558 675 1005 593
ENSG00000105227 14 25 14 0 25 15 17 9 40
ENSG00000105229 193 203 218 150 274 176 188 345 218
ENSG00000105245 41 38 34 12 59 24 92 76 73
ENSG00000105246 5 0 8 0 0 5 1 3 0
ENSG00000105248 93 125 98 111 143 83 128 173 122
ENSG00000105251 0 8 1 11 6 3 2 0 1
ENSG00000105254 172 278 266 269 365 261 298 539 237
ENSG00000105255 2 1 1 0 6 6 8 20 8
ENSG00000105258 48 68 56 96 91 59 94 137 40
ENSG00000105261 0 0 0 0 0 0 5 0 0
ENSG00000105270 4 7 5 1 7 2 6 22 2
ENSG00000105278 8 3 0 1 2 2 1 7 2
ENSG00000105281 315 307 278 547 547 406 383 670 423
ENSG00000105287 230 385 450 368 601 427 566 774 501
ENSG00000105289 3 22 2 11 7 9 11 25 4
ENSG00000105290 6 4 4 8 0 0 0 2 0
ENSG00000105298 85 231 162 194 371 211 225 375 255
ENSG00000105321 120 245 175 177 215 197 252 339 149
ENSG00000105323 1749 2450 2118 1994 2913 2022 2154 3685 2400
ENSG00000105325 198 304 218 189 239 217 207 373 271
ENSG00000105327 170 89 362 83 114 33 50 97 64
ENSG00000105329 8253 5817 12453 5633 5582 5314 4486 8414 4622
ENSG00000105339 899 1160 1091 665 1047 499 1086 2143 832
ENSG00000105341 129 144 145 141 200 112 156 215 114
ENSG00000105352 122 90 81 18 48 7 46 90 76
ENSG00000105355 603 528 771 468 451 413 381 886 431
ENSG00000105357 4 0 5 0 0 2 0 0 0
ENSG00000105364 143 127 73 149 212 143 166 350 121
ENSG00000105369 65 5 1 17 24 431 2 5 7
ENSG00000105370 0 0 0 3 2 0 3 0 0
ENSG00000105371 27 18 27 17 20 2 3 6 15
ENSG00000105372 2192 2201 2753 2946 2752 2363 1696 3029 2168
ENSG00000105373 1056 2177 1332 2136 2564 2410 2026 2487 2400
ENSG00000105374 277 540 917 1649 2390 2386 2292 3202 1573
ENSG00000105376 3 30 16 19 7 0 10 17 12
ENSG00000105379 148 234 196 150 226 135 186 312 169
ENSG00000105383 749 813 903 430 784 360 501 1035 534
ENSG00000105392 0 0 0 0 0 0 0 0 0
ENSG00000105393 205 229 212 263 327 277 270 423 262
ENSG00000105397 1157 1485 1314 927 1621 654 1110 2188 1291
ENSG00000105401 1503 2097 2080 1407 1911 977 1540 2814 1562
ENSG00000105402 1167 859 1310 988 1066 683 1117 1449 714
ENSG00000105404 155 136 201 176 162 75 105 205 120
ENSG00000105409 2 14 1 17 62 39 85 54 39
ENSG00000105419 3 2 1 1 0 0 0 0 0
ENSG00000105426 76 201 204 244 100 83 45 89 83
ENSG00000105427 0 9 3 1 4 3 0 1 3
ENSG00000105428 2 0 2 0 0 0 0 0 0
ENSG00000105429 74 146 85 88 120 40 108 157 141
ENSG00000105438 214 275 265 239 330 202 229 422 261
ENSG00000105443 218 359 297 179 317 167 228 537 169
ENSG00000105447 79 204 97 188 229 192 213 261 146
ENSG00000105464 18 25 12 2 17 20 16 19 16
ENSG00000105472 25 15 44 35 10 15 13 29 28
ENSG00000105479 2 0 7 7 4 0 2 1 0
ENSG00000105483 729 1097 1044 862 1404 455 1117 2081 874
ENSG00000105486 194 182 415 232 467 223 241 458 192
ENSG00000105492 5 15 1 26 29 13 6 0 2
ENSG00000105497 55 77 105 120 107 90 91 100 102
ENSG00000105499 80 46 58 9 52 11 13 82 11
ENSG00000105501 442 288 285 126 175 58 265 436 224
ENSG00000105507 175 58 35 19 4 5 4 60 16
ENSG00000105509 6 0 6 0 0 0 0 0 0
ENSG00000105514 983 1133 1048 802 935 646 878 1602 1116
ENSG00000105516 75 161 82 189 237 185 164 231 187
ENSG00000105518 126 126 126 97 94 72 121 150 90
ENSG00000105519 32 71 41 28 77 37 99 80 83
ENSG00000105520 255 426 366 209 194 144 243 457 287
ENSG00000105523 2 0 0 0 2 0 0 0 2
ENSG00000105538 0 0 0 5 0 9 0 0 0
ENSG00000105552 42 28 26 35 88 21 26 35 28
ENSG00000105556 177 298 228 139 190 94 129 267 184
ENSG00000105559 8 9 0 0 1 2 11 13 2
ENSG00000105568 630 728 548 692 917 712 702 1067 757
ENSG00000105576 158 181 214 146 209 111 233 257 206
ENSG00000105583 106 105 92 94 99 66 79 161 70
ENSG00000105605 1 0 1 0 0 0 0 0 0
ENSG00000105607 38 77 52 83 105 70 84 128 101
ENSG00000105609 2 24 16 15 23 20 7 131 4
ENSG00000105610 42 7 21 90 1 5 5 14 7
ENSG00000105612 128 192 184 172 232 98 234 416 256
ENSG00000105613 2 3 3 0 4 5 2 7 0
ENSG00000105617 42 64 68 93 82 69 65 106 64
ENSG00000105618 224 528 268 371 583 432 408 665 441
ENSG00000105619 72 72 102 157 163 116 92 130 78
ENSG00000105639 1101 962 1705 1125 1793 1074 1493 3412 1700
ENSG00000105640 2859 4854 3175 5845 5474 5952 4095 5464 5102
ENSG00000105641 1 10 0 4 0 0 5 3 1
ENSG00000105642 1 1 0 0 0 0 0 0 0
ENSG00000105643 327 653 405 455 688 331 576 680 510
ENSG00000105647 2 6 6 0 0 0 3 11 19
ENSG00000105649 25 24 22 25 1 1 7 28 25
ENSG00000105650 0 0 0 0 0 0 0 0 0
ENSG00000105655 23 32 14 15 36 27 34 33 49
ENSG00000105656 362 524 335 302 366 289 469 593 351
ENSG00000105662 141 282 169 138 190 61 135 237 199
ENSG00000105668 0 0 2 2 0 0 0 0 0
ENSG00000105669 843 926 978 1007 1070 883 871 1297 868
ENSG00000105671 144 222 151 216 281 242 174 329 225
ENSG00000105672 0 8 0 3 0 10 0 3 0
ENSG00000105675 0 0 0 0 3 0 0 4 0
ENSG00000105676 117 121 75 171 125 103 97 223 161
ENSG00000105677 49 90 45 135 112 37 105 109 69
ENSG00000105695 0 0 0 0 0 0 0 0 0
ENSG00000105697 0 0 0 0 0 0 4 0 6
ENSG00000105698 1022 1020 1275 1079 910 667 734 1420 765
ENSG00000105699 47 50 16 79 27 43 22 61 15
ENSG00000105700 302 336 258 235 371 212 299 457 328
ENSG00000105701 2069 1791 3034 2855 1542 1562 1282 2485 1442
ENSG00000105705 108 250 221 190 326 269 233 366 227
ENSG00000105707 2 3 3 0 0 0 1 12 0
ENSG00000105708 17 60 32 37 55 39 54 70 32
ENSG00000105711 138 80 132 51 25 30 3 90 31
ENSG00000105717 10 43 20 44 12 15 61 36 22
ENSG00000105722 93 128 151 112 150 151 151 193 158
ENSG00000105723 267 369 434 355 456 327 409 522 356
ENSG00000105726 449 734 402 393 851 420 908 988 642
ENSG00000105732 45 143 110 137 143 123 125 149 165
ENSG00000105737 9 9 15 7 3 4 0 12 7
ENSG00000105738 513 595 419 358 724 561 534 856 531
ENSG00000105750 21 34 24 30 72 12 58 42 37
ENSG00000105755 143 98 68 125 110 95 80 131 88
ENSG00000105767 2 10 2 3 14 1 9 15 1
ENSG00000105771 142 193 175 157 237 118 209 323 226
ENSG00000105778 401 476 435 369 501 213 588 728 476
ENSG00000105784 11 4 18 17 7 3 10 47 23
ENSG00000105792 0 0 0 0 0 0 0 0 0
ENSG00000105793 30 69 49 71 67 63 94 165 100
ENSG00000105808 145 577 262 304 878 333 286 615 410
ENSG00000105810 457 387 410 571 923 212 521 1023 574
ENSG00000105819 207 345 231 316 405 264 318 433 374
ENSG00000105821 255 338 179 261 391 75 346 461 375
ENSG00000105825 17 4 1 0 13 2 0 22 0
ENSG00000105829 62 89 78 108 80 49 70 143 75
ENSG00000105835 4325 3477 2498 852 860 346 1452 2780 768
ENSG00000105849 133 110 75 83 144 74 130 164 91
ENSG00000105851 721 902 876 1110 1696 680 1092 1505 1193
ENSG00000105854 44 37 40 78 34 37 17 43 41
ENSG00000105855 23 13 23 7 16 6 3 28 7
ENSG00000105856 495 660 607 645 701 460 561 867 510
ENSG00000105865 26 31 21 30 44 9 15 49 23
ENSG00000105866 64 125 146 212 410 242 360 459 246
ENSG00000105875 105 214 112 145 159 91 186 297 176
ENSG00000105877 2 0 6 1 1 0 6 7 0
ENSG00000105879 174 360 194 321 377 236 395 581 284
ENSG00000105887 4524 2248 4551 2605 2306 1216 1306 3779 1719
ENSG00000105889 8 20 0 10 5 13 5 0 1
ENSG00000105926 105 95 73 103 62 41 41 91 99
ENSG00000105928 2 6 0 15 7 5 14 1 36
ENSG00000105929 2 0 0 0 0 0 0 0 0
ENSG00000105939 1126 1570 1142 1371 2122 1148 2365 2915 1645
ENSG00000105948 1 9 4 8 9 3 9 9 2
ENSG00000105953 1012 1367 1010 1055 1878 1173 1256 1827 1081
ENSG00000105963 310 441 298 373 505 382 291 562 340
ENSG00000105967 565 774 604 699 916 214 681 1204 907
ENSG00000105968 361 409 261 360 592 362 386 720 467
ENSG00000105971 57 38 124 69 45 38 7 145 25
ENSG00000105974 2 8 8 13 5 12 3 10 4
ENSG00000105976 11 0 0 0 6 7 2 3 0
ENSG00000105982 7 24 15 19 16 5 24 18 21
ENSG00000105983 272 308 167 192 336 112 272 404 273
ENSG00000105988 0 2 1 0 1 0 0 1 1
ENSG00000105989 0 0 0 0 0 1 0 0 0
ENSG00000105991 7 3 7 5 27 3 7 44 12
ENSG00000105993 1461 991 2056 1041 1130 624 714 1850 680
ENSG00000105996 4 1 24 4 20 4 10 26 16
ENSG00000105997 1 1 4 0 7 0 12 6 6
ENSG00000106003 308 723 561 586 1302 694 896 1192 696
ENSG00000106004 29 2 3 0 0 4 0 0 0
ENSG00000106006 0 0 0 0 0 0 0 0 0
ENSG00000106009 337 564 342 311 430 234 433 529 364
ENSG00000106012 280 234 319 116 302 133 225 396 241
ENSG00000106013 0 0 0 0 0 0 0 0 0
ENSG00000106018 2 0 0 1 1 0 0 8 4
ENSG00000106025 3 0 0 0 0 0 3 0 0
ENSG00000106028 162 228 146 236 294 146 266 336 227
ENSG00000106031 0 0 0 0 0 5 0 0 0
ENSG00000106034 194 165 228 266 307 100 164 219 105
ENSG00000106038 2 0 0 0 0 0 0 0 0
ENSG00000106049 25 63 31 74 92 57 56 106 61
ENSG00000106052 835 901 1042 1022 1169 595 988 1623 952
ENSG00000106066 1401 1751 1569 2446 1888 1521 1307 3149 1846
ENSG00000106069 150 313 268 190 279 63 261 352 296
ENSG00000106070 232 99 266 64 49 62 30 218 46
ENSG00000106077 32 46 48 49 62 22 52 133 102
ENSG00000106078 1 6 0 2 0 11 0 3 0
ENSG00000106080 27 27 26 21 56 18 9 42 20
ENSG00000106086 142 132 210 131 130 42 152 176 154
ENSG00000106089 48 50 97 17 31 30 20 57 27
ENSG00000106100 90 182 172 122 259 106 207 280 180
ENSG00000106105 428 383 355 413 564 366 354 674 382
ENSG00000106113 0 0 3 1 0 3 3 3 0
ENSG00000106123 104 166 112 102 86 79 111 179 134
ENSG00000106125 11 4 86 2 13 1 12 22 5
ENSG00000106133 54 97 37 50 119 53 53 140 74
ENSG00000106144 258 458 337 326 503 273 406 659 371
ENSG00000106153 404 393 371 590 593 434 389 710 398
ENSG00000106178 0 0 0 2 0 0 0 3 0
ENSG00000106211 579 447 1030 282 314 291 121 650 102
ENSG00000106236 0 0 1 0 2 0 0 0 0
ENSG00000106244 429 451 548 458 634 354 464 936 469
ENSG00000106245 254 304 286 235 368 230 240 428 254
ENSG00000106246 45 152 72 81 84 59 63 147 98
ENSG00000106258 32 38 29 47 27 7 37 71 44
ENSG00000106261 580 802 690 657 870 453 683 1296 855
ENSG00000106263 711 939 563 921 1063 799 888 1410 1043
ENSG00000106266 72 79 77 88 138 59 83 158 93
ENSG00000106268 70 68 46 87 120 27 45 96 42
ENSG00000106278 0 0 0 0 0 6 0 0 0
ENSG00000106290 181 195 226 241 316 267 256 415 246
ENSG00000106299 135 201 159 164 213 63 147 275 160
ENSG00000106305 46 48 22 64 66 51 41 114 68
ENSG00000106327 33 11 9 32 15 37 23 13 20
ENSG00000106328 0 0 0 0 1 0 3 0 2
ENSG00000106330 61 53 43 50 45 16 43 79 47
ENSG00000106333 4 4 5 3 17 20 9 6 11
ENSG00000106336 0 0 2 0 0 0 3 9 0
ENSG00000106341 5 9 17 9 10 0 1 14 3
ENSG00000106344 218 368 218 261 553 189 431 504 370
ENSG00000106346 122 196 198 218 233 217 316 404 194
ENSG00000106348 844 1070 986 908 1126 649 957 1727 1158
ENSG00000106351 19 107 56 52 109 123 164 140 83
ENSG00000106355 14 42 20 58 52 23 22 60 26
ENSG00000106366 134 58 117 28 15 22 1 69 4
ENSG00000106367 25 19 38 23 37 16 34 58 35
ENSG00000106392 267 267 360 421 500 126 455 604 333
ENSG00000106397 185 238 161 171 259 126 200 309 165
ENSG00000106399 18 40 29 32 73 33 37 116 29
ENSG00000106400 112 170 147 182 234 106 160 334 165
ENSG00000106404 31 89 53 23 49 22 35 53 38
ENSG00000106410 0 0 0 0 0 0 0 0 0
ENSG00000106415 89 87 68 152 258 149 246 313 224
ENSG00000106443 312 481 319 420 583 230 514 822 452
ENSG00000106459 84 182 153 120 236 84 143 214 130
ENSG00000106460 126 176 164 318 276 104 264 348 289
ENSG00000106462 75 114 135 108 273 115 116 384 98
ENSG00000106477 61 20 59 53 67 45 42 75 36
ENSG00000106479 128 187 125 163 230 86 253 280 198
ENSG00000106483 0 0 0 0 0 0 1 1 1
ENSG00000106484 59 14 50 36 19 9 8 35 51
ENSG00000106511 0 0 0 0 0 0 0 0 0
ENSG00000106524 41 81 66 73 188 85 122 136 107
ENSG00000106526 18 29 37 30 53 47 50 64 39
ENSG00000106536 0 0 0 0 0 0 0 0 0
ENSG00000106537 22 36 70 38 53 12 12 48 8
ENSG00000106538 5 0 0 6 1 0 0 0 0
ENSG00000106540 0 0 0 7 0 0 0 0 0
ENSG00000106546 1998 1654 1436 851 1439 670 1291 2949 1166
ENSG00000106554 204 255 170 314 396 144 240 398 268
ENSG00000106560 280 589 439 404 739 519 701 1039 583
ENSG00000106565 29 211 1056 613 80 59 712 3647 1198
ENSG00000106571 1 4 1 0 0 5 0 1 0
ENSG00000106588 150 144 201 220 280 119 186 295 180
ENSG00000106591 54 97 74 102 172 74 128 157 118
ENSG00000106603 161 224 172 213 346 200 363 407 235
ENSG00000106605 311 338 397 471 611 364 647 805 329
ENSG00000106608 51 123 57 125 144 125 96 151 101
ENSG00000106609 447 603 575 560 702 460 534 866 725
ENSG00000106610 28 78 45 49 75 46 87 109 88
ENSG00000106615 314 179 348 284 249 97 155 350 185
ENSG00000106617 419 654 372 319 506 226 523 716 480
ENSG00000106624 55 18 0 45 32 48 5 14 32
ENSG00000106628 28 88 24 88 98 91 58 153 106
ENSG00000106635 459 391 437 460 544 309 454 582 426
ENSG00000106636 290 408 400 249 354 330 323 506 334
ENSG00000106638 87 114 67 124 115 109 122 143 119
ENSG00000106665 717 595 1264 377 483 527 311 812 263
ENSG00000106682 931 1251 1201 1054 1435 977 1122 2076 1315
ENSG00000106683 370 296 350 312 454 266 301 599 383
ENSG00000106686 0 2 4 1 0 0 0 5 5
ENSG00000106688 0 3 1 10 6 0 2 5 1
ENSG00000106689 0 0 0 0 0 0 0 0 0
ENSG00000106692 34 65 42 58 76 21 77 115 69
ENSG00000106701 20 46 39 43 78 58 37 67 41
ENSG00000106714 7 0 0 0 0 0 7 0 0
ENSG00000106723 120 148 114 153 149 109 135 258 184
ENSG00000106733 42 101 33 93 99 23 103 98 154
ENSG00000106771 285 269 341 366 407 233 374 628 347
ENSG00000106772 194 125 53 51 39 6 74 95 67
ENSG00000106780 3167 2870 3001 1838 2092 1227 2207 5345 2932
ENSG00000106785 705 635 637 575 1373 766 1403 1551 758
ENSG00000106789 291 119 170 55 127 79 185 176 71
ENSG00000106799 261 416 406 739 678 403 805 927 616
ENSG00000106803 107 109 147 153 186 80 109 239 113
ENSG00000106804 87 85 46 65 47 38 61 122 83
ENSG00000106809 0 0 7 15 32 1 15 23 5
ENSG00000106819 4 0 0 0 17 0 2 3 3
ENSG00000106823 12 1 2 1 27 3 15 11 1
ENSG00000106829 714 1000 777 549 804 441 825 1120 650
ENSG00000106852 0 0 1 0 0 0 0 0 0
ENSG00000106853 11 1 14 10 1 4 3 17 0
ENSG00000106868 1895 1010 1820 982 1069 696 989 1784 1022
ENSG00000106927 0 4 0 0 0 0 0 0 0
ENSG00000106948 2543 5535 3711 3726 6698 4591 6773 9547 5536
ENSG00000106952 135 227 163 173 191 148 199 305 173
ENSG00000106976 104 50 143 64 68 37 19 80 8
ENSG00000106991 199 418 181 344 482 159 229 378 349
ENSG00000106992 38 32 36 53 38 6 35 65 62
ENSG00000106993 65 148 98 148 138 84 135 191 113
ENSG00000107014 0 0 0 5 0 0 1 0 0
ENSG00000107018 0 3 0 0 0 0 1 0 2
ENSG00000107020 19 16 29 25 60 41 35 55 29
ENSG00000107021 231 154 452 112 110 115 122 264 112
ENSG00000107036 807 868 935 639 886 379 919 1525 714
ENSG00000107077 476 782 556 477 739 467 870 965 606
ENSG00000107099 3327 4321 3636 3734 6060 2903 5095 6929 4661
ENSG00000107104 65 47 45 35 70 28 24 124 24
ENSG00000107130 0 0 4 11 3 0 6 0 0
ENSG00000107140 201 198 160 219 326 158 180 361 197
ENSG00000107147 2 2 5 4 6 0 3 1 0
ENSG00000107164 156 287 212 289 283 73 255 343 300
ENSG00000107175 95 74 62 150 186 113 127 119 116
ENSG00000107185 152 188 220 190 280 203 232 372 237
ENSG00000107186 2 0 0 3 0 0 0 0 3
ENSG00000107187 0 0 2 0 0 0 0 0 0
ENSG00000107201 135 385 250 329 699 243 1087 780 358
ENSG00000107223 421 664 584 601 637 510 577 1077 694
ENSG00000107242 83 106 100 162 130 65 134 197 120
ENSG00000107249 2 24 0 2 2 10 2 0 4
ENSG00000107262 503 553 443 598 519 392 618 717 451
ENSG00000107263 1270 2007 1408 1469 2756 1452 2633 3647 2166
ENSG00000107281 28 90 42 69 136 44 104 111 79
ENSG00000107282 4 51 2 14 2 10 15 15 16
ENSG00000107290 2519 3676 3110 3205 4434 2014 3868 6003 3498
ENSG00000107295 0 0 0 0 0 0 0 0 0
ENSG00000107317 0 57 12 28 26 82 91 47 46
ENSG00000107331 169 540 390 376 714 454 1040 1096 725
ENSG00000107338 76 13 15 15 17 0 13 46 14
ENSG00000107341 585 687 742 526 876 520 683 1162 639
ENSG00000107362 65 104 46 112 128 94 75 213 84
ENSG00000107371 37 122 79 150 154 95 158 243 141
ENSG00000107372 3418 2420 2139 1753 2238 929 1864 3093 2030
ENSG00000107404 103 125 129 87 147 83 145 223 150
ENSG00000107438 2372 745 3419 1140 673 772 152 1139 294
ENSG00000107443 64 109 47 51 134 55 72 120 93
ENSG00000107447 4 0 0 0 0 0 0 0 0
ENSG00000107485 31 277 65 154 371 135 199 273 204
ENSG00000107518 7 0 0 0 0 0 0 0 0
ENSG00000107521 577 640 670 641 807 439 550 940 700
ENSG00000107537 32 26 30 38 36 25 25 45 27
ENSG00000107551 689 1461 909 549 1010 367 1059 1562 863
ENSG00000107554 204 334 210 146 269 201 217 322 230
ENSG00000107560 157 259 209 245 295 104 261 379 301
ENSG00000107566 201 184 163 146 191 110 171 410 127
ENSG00000107581 3067 4531 3005 3436 4859 2221 4134 6687 4472
ENSG00000107593 0 0 0 0 0 0 0 1 0
ENSG00000107611 8 44 20 20 88 12 27 58 59
ENSG00000107614 71 120 100 111 191 62 148 175 128
ENSG00000107625 102 158 111 227 250 115 218 256 176
ENSG00000107643 103 151 169 125 221 76 177 251 172
ENSG00000107651 210 432 295 325 570 280 428 802 406
ENSG00000107669 261 179 353 297 233 162 154 387 180
ENSG00000107672 130 264 149 251 319 134 282 469 313
ENSG00000107679 48 198 112 207 259 84 288 263 228
ENSG00000107719 14 20 10 18 12 9 0 8 3
ENSG00000107731 43 8 35 11 30 2 26 5 21
ENSG00000107736 122 434 227 185 526 152 318 598 394
ENSG00000107738 3371 4082 3646 2664 3781 2640 3388 6311 3365
ENSG00000107742 156 1149 357 1368 1271 1180 1910 1548 1165
ENSG00000107745 655 404 715 450 534 304 430 729 557
ENSG00000107758 227 372 321 405 479 254 328 673 416
ENSG00000107771 210 471 473 473 767 333 691 896 549
ENSG00000107779 7 33 10 55 35 29 39 23 18
ENSG00000107789 122 77 53 160 107 59 74 140 67
ENSG00000107796 64 41 235 59 66 89 93 86 96
ENSG00000107798 1303 769 1002 677 847 427 467 735 804
ENSG00000107807 0 0 0 3 0 0 0 0 0
ENSG00000107815 8 17 28 26 46 43 39 39 64
ENSG00000107816 128 138 236 86 98 69 99 157 74
ENSG00000107819 273 284 426 226 338 233 276 495 200
ENSG00000107821 23 4 3 3 6 0 0 0 7
ENSG00000107829 93 131 143 165 191 92 192 174 177
ENSG00000107833 9 27 4 25 33 32 14 35 19
ENSG00000107854 709 812 673 659 998 643 1084 1280 886
ENSG00000107862 541 619 830 556 1000 710 819 1258 672
ENSG00000107863 1584 950 2919 1030 907 453 480 1243 626
ENSG00000107864 186 219 154 103 252 75 215 240 153
ENSG00000107872 60 87 83 103 103 66 74 127 84
ENSG00000107874 144 163 142 198 187 158 158 343 188
ENSG00000107882 184 308 339 182 286 209 292 477 247
ENSG00000107890 57 118 76 102 143 49 118 240 129
ENSG00000107897 188 247 273 226 367 134 319 415 320
ENSG00000107902 123 218 105 152 181 125 147 214 140
ENSG00000107929 860 1003 1029 881 1426 710 1200 1850 1255
ENSG00000107937 184 246 197 201 298 183 315 469 274
ENSG00000107938 146 240 173 200 316 121 290 378 266
ENSG00000107949 107 178 108 129 227 79 180 310 160
ENSG00000107951 106 116 80 175 170 77 132 213 136
ENSG00000107954 41 44 48 57 94 25 56 100 61
ENSG00000107957 210 147 301 178 164 82 105 226 218
ENSG00000107959 234 292 276 294 314 145 279 407 294
ENSG00000107960 169 282 195 178 315 251 316 371 319
ENSG00000107968 639 330 386 242 294 117 355 660 222
ENSG00000107984 1 0 1 0 6 0 0 0 0
ENSG00000108001 0 0 0 0 0 0 0 0 0
ENSG00000108010 104 62 109 108 216 132 88 216 108
ENSG00000108021 406 576 445 514 896 387 917 1120 719
ENSG00000108039 480 258 730 252 407 237 280 668 282
ENSG00000108055 502 617 675 673 1068 421 695 1356 746
ENSG00000108061 958 724 956 877 856 529 664 1168 641
ENSG00000108064 138 204 127 222 241 138 218 277 230
ENSG00000108091 499 467 363 362 537 305 441 705 483
ENSG00000108094 153 232 206 220 390 163 297 502 246
ENSG00000108100 957 1143 1437 904 865 638 790 1530 1045
ENSG00000108106 162 95 60 218 171 182 129 235 66
ENSG00000108107 3864 5762 4409 5545 6778 5889 5149 6879 6006
ENSG00000108175 1264 1852 1343 1276 2475 1137 1430 2493 1574
ENSG00000108176 0 0 0 0 0 0 1 0 0
ENSG00000108179 323 396 269 272 242 136 248 383 239
ENSG00000108187 70 77 67 57 55 17 27 41 35
