coldata$id X3543.CF.1 X3543.CF.198 X3543.CF.221 X3543.CF.274 X3543.CF.249 X3543.CF.145 X3543.CF.294 X3543.CF.253 X3543.CF.201
ENSG00000005981 0 0 0 0 0 0 0 0 0
ENSG00000006007 328 407 443 396 366 211 319 552 360
ENSG00000006015 131 244 119 206 211 168 239 294 227
ENSG00000006016 6 15 12 6 7 11 6 16 0
ENSG00000006025 89 119 71 89 161 64 139 211 123
ENSG00000006047 0 0 0 0 0 2 0 0 0
ENSG00000006062 120 371 216 301 402 257 340 471 378
ENSG00000006116 2 0 0 0 0 0 0 0 0
ENSG00000006118 105 60 79 43 87 12 66 109 83
ENSG00000006125 1056 1092 1361 1424 1641 1209 1175 2019 1160
ENSG00000006194 153 332 184 225 252 256 273 355 288
ENSG00000006210 0 0 0 0 0 0 0 0 0
ENSG00000006282 201 233 174 194 216 59 207 229 137
ENSG00000006283 0 0 0 0 0 0 0 0 0
ENSG00000006327 10 9 1 15 0 5 1 5 11
ENSG00000006377 0 0 2 0 0 0 0 0 0
ENSG00000006432 7 18 13 22 53 63 52 37 37
ENSG00000006451 106 108 150 179 230 105 157 307 228
ENSG00000006453 40 27 46 18 50 20 35 42 23
ENSG00000006459 1134 1388 1226 1093 1098 447 1273 1902 1314
ENSG00000006468 0 0 2 1 0 0 2 4 5
ENSG00000006530 82 185 95 186 262 180 244 463 225
ENSG00000006534 504 906 642 410 695 407 553 888 562
ENSG00000006555 8 30 29 76 75 79 148 109 82
ENSG00000006576 419 353 479 354 539 166 352 573 240
ENSG00000006607 83 211 164 127 179 118 159 257 134
ENSG00000006625 48 71 50 70 143 37 76 128 91
ENSG00000006634 62 71 47 73 132 35 72 190 57
ENSG00000006638 248 94 481 143 34 86 17 113 39
ENSG00000006652 706 483 796 255 314 148 203 519 238
ENSG00000006695 92 127 83 104 150 100 124 189 116
ENSG00000006704 2 4 1 0 0 0 0 0 0
ENSG00000006712 265 361 354 286 423 295 319 540 316
ENSG00000006715 538 630 812 617 777 455 658 1105 703
ENSG00000006740 5 14 7 6 23 4 9 11 6
ENSG00000006744 301 408 212 441 580 366 501 636 414
ENSG00000006747 4 0 0 0 0 1 1 3 0
ENSG00000006756 171 329 350 256 321 246 173 271 215
ENSG00000006757 17 22 22 24 39 34 10 23 37
ENSG00000006831 519 407 638 350 497 304 348 659 325
ENSG00000006837 0 0 0 0 2 0 2 3 3
ENSG00000007038 7 23 1 7 3 11 9 0 28
ENSG00000007047 273 270 335 236 330 160 253 584 296
ENSG00000007062 1 3 0 7 3 0 0 0 1
ENSG00000007080 95 164 108 158 187 179 112 271 136
ENSG00000007129 23 45 12 51 58 40 43 90 49
ENSG00000007168 619 732 797 636 1034 451 834 1281 811
ENSG00000007171 0 0 0 2 0 0 0 0 0
ENSG00000007174 0 0 0 0 0 0 1 0 0
ENSG00000007202 1531 2014 1674 1480 2524 1304 2054 3324 1961
ENSG00000007216 0 0 2 0 0 0 0 0 0
ENSG00000007237 2429 2737 2596 1724 1791 1334 1768 3792 2209
ENSG00000007255 21 31 18 65 40 24 12 53 22
ENSG00000007264 17 147 149 386 414 408 432 346 308
ENSG00000007312 48 62 28 75 179 256 59 112 58
ENSG00000007314 1 0 6 0 4 0 0 0 0
ENSG00000007341 82 62 61 92 101 39 73 100 72
ENSG00000007350 4 32 3 18 29 31 38 23 2
ENSG00000007372 1 0 0 0 0 4 2 2 0
ENSG00000007376 122 81 94 100 167 57 162 197 165
ENSG00000007384 2 0 0 3 1 0 0 0 1
ENSG00000007392 214 501 272 324 511 146 425 605 496
ENSG00000007402 5 18 43 91 59 56 200 24 73
ENSG00000007516 33 14 6 11 16 51 13 26 7
ENSG00000007520 242 269 195 217 325 253 318 398 298
ENSG00000007541 121 149 130 136 92 115 122 183 111
ENSG00000007545 204 341 304 225 439 159 429 646 327
ENSG00000007866 5 0 7 0 0 0 0 0 2
ENSG00000007908 1 0 0 0 0 0 0 0 0
